UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
26,Pernambuco,2601,Recife,260001,Recife,5,Metropolitana de Recife,17,Recife,54,2600054,Abreu e Lima
26,Pernambuco,2603,Serra Talhada,260014,Afogados da Ingazeira,1,Sertão Pernambucano,3,Pajeú,104,2600104,Afogados da Ingazeira
26,Pernambuco,2604,Petrolina,260015,Petrolina,2,São Francisco Pernambucano,5,Petrolina,203,2600203,Afrânio
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,12,Brejo Pernambucano,302,2600302,Agrestina
26,Pernambuco,2601,Recife,260003,Palmares,4,Mata Pernambucana,15,Mata Meridional Pernambucana,401,2600401,Água Preta
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,7,Vale do Ipanema,500,2600500,Águas Belas
26,Pernambuco,2602,Caruaru,260012,Belo Jardim ¿ Pesqueira,3,Agreste Pernambucano,8,Vale do Ipojuca,609,2600609,Alagoinha
26,Pernambuco,2601,Recife,260002,Goiana ¿ Timbaúba,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,708,2600708,Aliança
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,12,Brejo Pernambucano,807,2600807,Altinho
26,Pernambuco,2601,Recife,260018,Escada - Ribeirão,4,Mata Pernambucana,15,Mata Meridional Pernambucana,906,2600906,Amaraji
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,1003,2601003,Angelim
26,Pernambuco,2601,Recife,260001,Recife,5,Metropolitana de Recife,16,Itamaracá,1052,2601052,Araçoiaba
26,Pernambuco,2604,Petrolina,260016,Araripina,1,Sertão Pernambucano,1,Araripina,1102,2601102,Araripina
26,Pernambuco,2602,Caruaru,260011,Arcoverde,1,Sertão Pernambucano,4,Sertão do Moxotó,1201,2601201,Arcoverde
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,12,Brejo Pernambucano,1300,2601300,Barra de Guabiraba
26,Pernambuco,2601,Recife,260007,Barreiros - Sirinhaém,4,Mata Pernambucana,15,Mata Meridional Pernambucana,1409,2601409,Barreiros
26,Pernambuco,2601,Recife,260003,Palmares,4,Mata Pernambucana,15,Mata Meridional Pernambucana,1508,2601508,Belém de Maria
26,Pernambuco,2604,Petrolina,260017,Salgueiro,2,São Francisco Pernambucano,6,Itaparica,1607,2601607,Belém do São Francisco
26,Pernambuco,2602,Caruaru,260012,Belo Jardim ¿ Pesqueira,3,Agreste Pernambucano,8,Vale do Ipojuca,1706,2601706,Belo Jardim
